;technology;icc;icc.lbound;icc.ubound;kripp;no.coders
1;Social media have;0.91871341094139;0.808038954604556;0.978327447626372;0.537400260647898;9
2;Gamification;0.57556270096463;-0.0143972012632778;0.883313428937343;0.181996152215516;4
3;Tools for sensory impaired citizen scientists;0.826325411334552;0.53596969628265;0.970800903906554;0.354474703311471;10
4;Virtual reality;0.760153256704981;0.402166324601927;0.949440599502244;0.217986505829839;8
5;Wildlife cameras;0.853251988234012;0.630819302307702;0.969409121427601;0.268888370817992;11
6;Acoustic analysis;0.0354838709677419;-0.300407725980786;0.931241981932862;0.0123299802101136;11
7;DNA-based technologies;0.631494376004285;0.165632852558317;0.897343520556215;0.21034857897797;6
8;Technologies to increase data quality and reduce uncertainty;0.554898911353033;-0.0148703927864577;0.901724113905744;0.247810030518584;8
9;GPS tracking devices;-0.788321167883213;-215.157.220.600.605;0.673704833051701;0.117943399339934;6
10;Low earth orbit ultrafast broadband;0.569192235441453;0.0534405858442232;0.877865004166545;0.0799901804385201;6
11;Collective intelligence;0.316993464052288;-0.537803587974738;0.812724496305872;0.0306840268574963;8
12;Open source hardware;-0.763131813676908;-142.355.392.008.209;0.347613021168317;-0.0860086882814155;10
13;Push Notifications;0.595053804040023;-0.182140946356059;0.93465951523649;0.146391731605199;8
14;Chatbot;0.7327286977942;0.345673930252298;0.93625829504837;0.216252200843575;8
15;Augmented reality;0.173374613003096;-0.899485951571422;0.81916834219938;0.0160817279792315;7
16;Neural marketing;-0.779220779220779;-132.032.657.724.651;0.652131351726443;0.0277008648436368;9
17;Digital twins;-0.610169491525423;-176.488.412.707.147;0.694573220651049;-0.0447525925925927;6
18;Robots;-0.533333333333334;-229.716.364.766.702;0.943004495055836;0.113508279588901;8
19;Ecological interaction approaches;0.766167336499817;0.361700810258312;0.969819098906253;0.124657133991549;9
20;Machine learning;0.622803995866345;0.107890848419317;0.918565322080467;0.0546744119950356;8
21;Image analysis satellites;0.791898116786343;0.504220586692129;0.943710192811936;0.312852085278556;7
22;Drones;0.730275229357798;0.335649577291061;0.935585782205031;0.248328455891896;7
23;Adaptive sampling;0.476977119529099;-0.0266551189618168;0.853566717216909;0.131564757953292;8
24;Internet of things;0.623108665749656;0.122987042581497;0.8975150080602;0.147602712684348;6
25;Open data and open source;0.660147538171213;0.241492945148837;0.912827494184296;0.161034384220487;8
26;eNose technology;NA;NA;NA;0.357398034229218;12
27;Data exchange tools;0.4375;-0.556616397788049;0.999229291995476;0.243305604962908;7
28;Visual storytelling;0.847102342786683;0.604322671129957;0.968842850100729;0.32643801510989;9
29;Google Street view;0.6794208893485;0.108756947745419;0.947305467670246;0.195055793227166;9
30;AI analysis on sensors;0.903139749640878;0.704134746949571;0.988324348886286;0.274149353845201;9
31;Computational infrastructure to handle big volumes of data;0.935420148913539;0.804288337384688;0.989634376423287;0.706685041464181;6
32;Artificial intelligence;0.674528301886792;0.137190873525135;0.916135079886816;0.2611899053722;4
33;Data aggregation software and visualisation and analysis tools;-0.0926916221033869;-202.216.900.887.404;0.718283639687966;-0.00953577584297394;8
34;Acoustic hardware;0.84064048799085;0.583540335076649;0.967722719583976;0.326266401860384;9
35;3D technology to improve CS experience;-0.154237288135593;-19.820.624.258.804;0.759100017578984;0.037526138736881;7
36;Data analysis to reveal early signals of invasion;0.695419393218322;0.115508185446306;0.96206123858303;0.217045679665928;7
37;Mobile-based data collection platforms;0.550773369199731;0.0624965726167992;0.870175751858982;0.0459480761680409;9
38;Advanced natural language generation;0.573770491803279;-0.0396301197280708;0.938573948627521;0.159010082156852;5
39;Social media mining has;0.576246143148929;0.145024449042071;0.884103152495719;0.0960125353682726;10
