"","technology","icc","icc.lbound","icc.ubound","kripp","fleiss","fleiss.z","fleiss.p","p.anova","num","no.coders"
"1","Social media have",0.926003798155182,0.822603361889122,0.980411064712278,0.537400260647898,0.246116863905326,6.67593426621375,2.45661269104858e-11,NA,9,9
"2","Gamification",0.666666666666667,0.0736218062822956,0.915552387546625,0.181996152215516,0.0487804878048781,0.644039102709246,0.519550077881223,"< 0.05",4,4
"3","Tools for sensory impaired citizen scientists",0.862924780450554,0.607415690597946,0.97773893170808,0.354474703311471,0.0708661417322834,1.88745051791203,0.0590997558202482,"< 0.05",10,10
"4","Virtual reality",0.823920265780731,0.51976944260035,0.964818308673685,0.217986505829839,0.0396902226524685,0.85596451380547,0.39201740827863,"< 0.05",8,8
"5","Wildlife cameras",0.903344867358708,0.746051243577658,0.980508718103002,0.268888370817992,0.137714021286441,4.80302162182537,1.5628900118525e-06,"< 0.05",11,11
"6","Acoustic analysis",0.104761904761905,-2.99388587253723,0.977305817579208,0.0123299802101136,-0.0613065326633166,-1.44072767538765,0.149661633041811,"< 0.05",11,11
"7","DNA-based technologies",0.708108108108108,0.26184526286734,0.923982133154191,0.21034857897797,0.0593913955928646,1.12583067228613,0.260237198620566,"< 0.05",6,6
"8","Technologies to increase data quality and reduce uncertainty",0.633972992181947,0.00171729150330957,0.926865807338661,0.247810030518584,0.0451612903225806,0.997045630675498,0.31874236162435,"< 0.05",8,8
"9","GPS tracking devices",-1.35,-7.25953363130727,0.725465467626671,0.117943399339934,-0.110320284697509,-1.32327274283322,0.185744692730949,"< 0.05",6,6
"10","Low earth orbit ultrafast broadband",0.653956834532374,0.124904086280979,0.909879431371245,0.0799901804385201,0.0723926380368098,1.37662276273133,0.168628909530333,"< 0.05",6,6
"11","Collective intelligence",0.332904332904333,-0.619778632857293,0.824097683668252,0.0306840268574963,0.00662251655629142,0.166989101997414,0.867378623869783,NA,8,8
"12","Open source hardware",-1.82033096926714,-6.48213358029883,0.432628369213474,-0.0860086882814155,-0.0764101517316459,-2.12322607437708,0.0337349120066688,"< 0.05",10,10
"13","Push Notifications",0.591702646893186,-0.206787376268522,0.934117380475556,0.146391731605199,0.00216198237152831,0.0500209852207597,0.960105665465034,"< 0.05",8,8
"14","Chatbot",0.749684958185359,0.359522817863726,0.941501233058096,0.216252200843575,0.0678648899907035,1.65904478944844,0.0971067672567223,NA,8,8
"15","Augmented reality",0.194444444444445,-1.24311031244047,0.839854452475054,0.0160817279792315,0.032520325203252,0.662269883507773,0.507798274252821,"< 0.05",7,7
"16","Neural marketing",-2.5,-12.0237806682029,0.75219740406466,0.0277008648436368,-0.0679513184584179,-1.52258527974543,0.127862494858233,"< 0.05",9,9
"17","Digital twins",-1.10769230769231,-6.40789595737541,0.753772628902482,-0.0447525925925927,-0.161290322580645,-2.04401916820516,0.0409516535597318,"< 0.05",6,6
"18","Robots",-0.791208791208792,-7.69935990428629,0.954568410128286,0.113508279588901,-0.0714285714285714,-1.00097799534377,0.316837446817985,"< 0.05",8,8
"19","Ecological interaction approaches",0.853827361563518,0.529549779747379,0.982698985352609,0.124657133991549,0.0352697095435685,0.777950793132716,0.436598022587146,"< 0.05",9,9
"20","Machine learning",0.690603514132926,0.156168382896287,0.938180894516418,0.0546744119950356,-0.00282752120640906,-0.0608288856877929,0.951495485458618,"< 0.05",8,8
"21","Image analysis satellites",0.849317058994478,0.627868173410797,0.960474064936614,0.312852085278556,0.126705653021442,3.29923398615705,0.000969490646148596,"< 0.05",7,7
"22","Drones",0.754400216626049,0.359782112692578,0.942899089172026,0.248328455891896,0.0772820064158647,1.68552900119191,0.0918865543306959,"< 0.05",7,7
"23","Adaptive sampling",0.632347388294525,0.0592930131440796,0.914079376565524,0.131564757953292,0.00811377518461118,0.231370890890245,0.817026677376452,"< 0.05",8,8
"24","Internet of things",0.661313868613139,0.143509020877703,0.911795435387344,0.147602712684348,0.0350914962325081,0.597898852745781,0.549907425434616,"< 0.05",6,6
"25","Open data and open source",0.774245472837022,0.422365422534532,0.947241039232608,0.161034384220487,0.0554644545191473,1.40272394251181,0.160699174820659,"< 0.05",8,8
"26","eNose technology",NA,NA,NA,0.357398034229218,NA,NA,NA,"< 0.05",12,12
"27","Data exchange tools",0.583333333333333,-2.67212526194587,0.999555371103783,0.243305604962908,-0.0500000000000001,-0.324037034920393,0.745909995805377,"< 0.05",7,7
"28","Visual storytelling",0.861622073578595,0.628423539597973,0.972245516785052,0.32643801510989,0.0942151556156969,2.60492635803644,0.0091894008740121,"< 0.05",9,9
"29","Google Street view",0.688198324022346,0.0946145138962011,0.94950620789709,0.195055793227166,0.0192885771543087,0.46817314221378,0.639660777070061,NA,9,9
"30","AI analysis on sensors",0.919941471571906,0.742335140591557,0.990524260984829,0.274149353845201,0.119073275862069,2.5446453159733,0.0109388785954945,"< 0.05",9,9
"31","Computational infrastructure to handle big volumes of data",0.934851936218679,0.796172263708876,0.989606012095996,0.706685041464181,0.338775510204082,5.75578325480576,8.62409810231668e-09,NA,6,6
"32","Artificial intelligence",0.683393070489845,0.120106733565621,0.91978990215002,0.2611899053722,0.112171837708831,1.26012624712921,0.207623823181698,NA,4,4
"33","Data aggregation software and visualisation and analysis tools",-0.1000481000481,-1.67103280003413,0.709935143609545,-0.00953577584297394,-0.0245647507751014,-0.655981839390624,0.511835809167828,NA,8,8
"34","Acoustic hardware",0.847207991803279,0.589718425100831,0.969354482058361,0.326266401860384,0.0894358794674141,2.43005078009386,0.0150967075226174,"< 0.05",9,9
"35","3D technology to improve CS experience",-0.240740740740741,-2.45490553870141,0.753339041743187,0.037526138736881,-0.0460674157303371,-1.01136411810499,0.31184218827799,"< 0.05",7,7
"36","Data analysis to reveal early signals of invasion",0.740811153358682,0.124107841580925,0.969546151976591,0.217045679665928,-0.05,-0.904664586383713,0.365643107738311,"< 0.05",7,7
