"","technology","sum.scores","no.coders","w.rank"
"1","Mobile-based data collection platforms",355,9,39.4444444444444
"2","Social media have",344,9,38.2222222222222
"3","Low earth orbit ultrafast broadband",218,6,36.3333333333333
"4","Internet of things",217,6,36.1666666666667
"5","DNA-based technologies",216,6,36
"6","Machine learning",286,8,35.75
"7","Artificial intelligence",141,4,35.25
"8","Collective intelligence",282,8,35.25
"9","Open source hardware",346,10,34.6
"10","Technologies to increase data quality and reduce uncertainty",274,8,34.25
"11","Open data and open source",269,8,33.625
"12","Wildlife cameras",368,11,33.4545454545455
"13","Data aggregation software and visualisation and analysis tools",267,8,33.375
"14","Augmented reality",233,7,33.2857142857143
"15","Drones",231,7,33
"16","GPS tracking devices",198,6,33
"17","Computational infrastructure to handle big volumes of data",196,6,32.6666666666667
"18","Chatbot",259,8,32.375
"19","Ecological interaction approaches",291,9,32.3333333333333
"20","Social media mining has",322,10,32.2
"21","Acoustic hardware",289,9,32.1111111111111
"22","Virtual reality",254,8,31.75
"23","Digital twins",190,6,31.6666666666667
"24","Data exchange tools",219,7,31.2857142857143
"25","AI analysis on sensors",279,9,31
"26","Gamification",124,4,31
"27","Tools for sensory impaired citizen scientists",309,10,30.9
"28","Acoustic analysis",303,10,30.3
"29","Advanced natural language generation",151,5,30.2
"30","Visual storytelling",270,9,30
"31","Google Street view",269,9,29.8888888888889
"32","Push Notifications",239,8,29.875
"33","Image analysis satellites",208,7,29.7142857142857
"34","Data analysis to reveal early signals of invasion",200,7,28.5714285714286
"35","Adaptive sampling",227,8,28.375
"36","Robots",199,8,24.875
"37","Neural marketing",222,9,24.6666666666667
"38","3D technology to improve CS experience",170,7,24.2857142857143
"39","eNose technology",280,12,23.3333333333333
